pipeline,subgroup,fpir,fpir_lower_95,fpir_upper_95,fnir_rank1,fnir_rank1_lower_95,fnir_rank1_upper_95,fnir_rank5,fnir_rank5_lower_95,fnir_rank5_upper_95,tpir_rank1,tpir_rank1_lower_95,tpir_rank1_upper_95,tpir_rank5,tpir_rank5_lower_95,tpir_rank5_upper_95,mated_probe_coverage,mated_probe_coverage_lower_95,mated_probe_coverage_upper_95,non_mated_probe_coverage,non_mated_probe_coverage_lower_95,non_mated_probe_coverage_upper_95,scored_mated_probes,scored_non_mated_probes,intended_mated_probes,intended_non_mated_probes,status
opencv-sface-2021dec-yunet-2023mar,asian_females,0.022857142857142857,0.0056657223796034,0.04261363636363636,0.19166666666666665,0.08870967741935487,0.3114754098360656,0.19166666666666665,0.08870967741935487,0.3114754098360656,0.8083333333333333,0.6885245901639344,0.9112903225806451,0.8083333333333333,0.6885245901639344,0.9112903225806451,0.96,0.92,0.992,0.9333333333333333,0.8853333333333333,0.970733333333333,120,350,125,375,evaluated_non_commercial_academic_research
opencv-sface-2021dec-yunet-2023mar,asian_males,0.0028169014084507044,0.0,0.008645533141210375,0.0672268907563025,0.024385326514555487,0.12399276859504121,0.0672268907563025,0.024385326514555487,0.12399276859504121,0.9327731092436975,0.8760072314049586,0.9756146734854445,0.9327731092436975,0.8760072314049586,0.9756146734854445,0.952,0.92,0.984,0.9466666666666667,0.92,0.9733333333333334,119,355,125,375,evaluated_non_commercial_academic_research
opencv-sface-2021dec-yunet-2023mar,black_females,0.0,0.0,0.0,0.050420168067226934,0.008620689655172376,0.09919421487603294,0.050420168067226934,0.008620689655172376,0.09919421487603294,0.9495798319327731,0.9008057851239669,0.9913793103448276,0.9495798319327731,0.9008057851239669,0.9913793103448276,0.952,0.92,0.984,0.9626666666666667,0.9439333333333333,0.9813333333333333,119,361,125,375,evaluated_non_commercial_academic_research
opencv-sface-2021dec-yunet-2023mar,black_males,0.0,0.0,0.0,0.06666666666666665,0.020618556701030966,0.11766042780748659,0.06666666666666665,0.020618556701030966,0.11766042780748659,0.9333333333333333,0.8823395721925134,0.979381443298969,0.9333333333333333,0.8823395721925134,0.979381443298969,0.84,0.744,0.92,0.8986666666666666,0.8639333333333333,0.936,105,337,125,375,evaluated_non_commercial_academic_research
opencv-sface-2021dec-yunet-2023mar,indian_females,0.0136986301369863,0.0,0.03783783783783784,0.0826446280991735,0.008403361344537785,0.16809941718622912,0.0826446280991735,0.008403361344537785,0.16809941718622912,0.9173553719008265,0.8319005828137707,0.9915966386554622,0.9173553719008265,0.8319005828137707,0.9915966386554622,0.968,0.928,1.0,0.9733333333333334,0.9493333333333334,0.992,121,365,125,375,evaluated_non_commercial_academic_research
opencv-sface-2021dec-yunet-2023mar,indian_males,0.00273224043715847,0.0,0.008287292817679558,0.05882352941176472,0.025000000000000022,0.09836065573770492,0.05882352941176472,0.025000000000000022,0.09836065573770492,0.9411764705882353,0.9016393442622951,0.975,0.9411764705882353,0.9016393442622951,0.975,0.952,0.92,0.984,0.976,0.96,0.9893333333333333,119,366,125,375,evaluated_non_commercial_academic_research
opencv-sface-2021dec-yunet-2023mar,white_females,0.0,0.0,0.0,0.04958677685950408,0.008130081300813052,0.11016949152542377,0.04958677685950408,0.008130081300813052,0.11016949152542377,0.9504132231404959,0.8898305084745762,0.991869918699187,0.9504132231404959,0.8898305084745762,0.991869918699187,0.968,0.936,0.992,0.976,0.9546666666666667,0.992,121,366,125,375,evaluated_non_commercial_academic_research
opencv-sface-2021dec-yunet-2023mar,white_males,0.0,0.0,0.0,0.025423728813559365,0.0,0.06837606837606836,0.025423728813559365,0.0,0.06837606837606836,0.9745762711864406,0.9316239316239316,1.0,0.9745762711864406,0.9316239316239316,1.0,0.944,0.856,1.0,0.9573333333333334,0.9253333333333333,0.984,118,359,125,375,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,asian_females,0.00804289544235925,0.0,0.024193548387096774,0.06399999999999995,0.008000000000000007,0.128,0.06399999999999995,0.008000000000000007,0.128,0.936,0.872,0.992,0.936,0.872,0.992,1.0,1.0,1.0,0.9946666666666667,0.9866666666666667,1.0,125,373,125,375,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,asian_males,0.0,0.0,0.0,0.02400000000000002,0.0,0.05600000000000005,0.02400000000000002,0.0,0.05600000000000005,0.976,0.944,1.0,0.976,0.944,1.0,1.0,1.0,1.0,0.9946666666666667,0.9866666666666667,1.0,125,373,125,375,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,black_females,0.0,0.0,0.0,0.016000000000000014,0.0,0.040000000000000036,0.016000000000000014,0.0,0.040000000000000036,0.984,0.96,1.0,0.984,0.96,1.0,1.0,1.0,1.0,0.9946666666666667,0.9866666666666667,1.0,125,373,125,375,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,black_males,0.0,0.0,0.0,0.06451612903225812,0.02400000000000002,0.11290322580645162,0.06451612903225812,0.02400000000000002,0.11290322580645162,0.9354838709677419,0.8870967741935484,0.976,0.9354838709677419,0.8870967741935484,0.976,0.992,0.976,1.0,0.992,0.984,1.0,124,372,125,375,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,indian_females,0.0026666666666666666,0.0,0.008,0.016000000000000014,0.0,0.04800000000000004,0.016000000000000014,0.0,0.04800000000000004,0.984,0.952,1.0,0.984,0.952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125,375,125,375,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,indian_males,0.0,0.0,0.0,0.04800000000000004,0.016000000000000014,0.07999999999999996,0.04800000000000004,0.016000000000000014,0.07999999999999996,0.952,0.92,0.984,0.952,0.92,0.984,1.0,1.0,1.0,0.9973333333333333,0.992,1.0,125,374,125,375,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,white_females,0.0,0.0,0.0,0.008000000000000007,0.0,0.02400000000000002,0.008000000000000007,0.0,0.02400000000000002,0.992,0.976,1.0,0.992,0.976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125,375,125,375,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,white_males,0.0,0.0,0.0,0.016000000000000014,0.0,0.04800000000000004,0.016000000000000014,0.0,0.04800000000000004,0.984,0.952,1.0,0.984,0.952,1.0,1.0,1.0,1.0,0.992,0.9813333333333333,1.0,125,372,125,375,evaluated_non_commercial_academic_research
