pipeline,outcome,count
opencv-sface-2021dec-yunet-2023mar,intended_same_person_photographs,1000
opencv-sface-2021dec-yunet-2023mar,scored_same_person_photographs,942
opencv-sface-2021dec-yunet-2023mar,consistent_same_person_photographs,872
opencv-sface-2021dec-yunet-2023mar,inconsistent_same_person_review_candidates,70
opencv-sface-2021dec-yunet-2023mar,same_person_extraction_failures,48
opencv-sface-2021dec-yunet-2023mar,gallery_reference_unavailable,10
opencv-sface-2021dec-yunet-2023mar,intended_open_set_non_mated_gallery_controls,3000
opencv-sface-2021dec-yunet-2023mar,scored_open_set_non_mated_gallery_controls,2859
opencv-sface-2021dec-yunet-2023mar,open_set_non_mated_gallery_controls_correctly_identified,2844
opencv-sface-2021dec-yunet-2023mar,open_set_non_mated_gallery_controls_false_consistent,15
opencv-sface-2021dec-yunet-2023mar,open_set_non_mated_gallery_control_extraction_failures,141
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_controls_intended,3000
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_controls_scored,2859
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_controls_correctly_inconsistent,2859
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_controls_false_consistent,0
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_control_extraction_failures,141
opencv-sface-2021dec-yunet-2023mar,same_person_consistency_rate_conditional,0.9256900212314225
opencv-sface-2021dec-yunet-2023mar,same_person_false_inconsistency_rate_conditional,0.07430997876857749
opencv-sface-2021dec-yunet-2023mar,same_person_consistency_rate_end_to_end,0.872
opencv-sface-2021dec-yunet-2023mar,same_person_false_inconsistency_rate_end_to_end,0.07
opencv-sface-2021dec-yunet-2023mar,open_set_non_mated_gallery_detection_conditional,0.9947534102833159
opencv-sface-2021dec-yunet-2023mar,open_set_non_mated_gallery_false_consistency_conditional,0.005246589716684155
opencv-sface-2021dec-yunet-2023mar,open_set_non_mated_gallery_detection_end_to_end,0.948
opencv-sface-2021dec-yunet-2023mar,open_set_non_mated_gallery_false_consistency_end_to_end,0.005
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_mismatch_detection_conditional,1.0
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_mismatch_detection_end_to_end,0.953
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_false_consistency_conditional,0.0
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_false_consistency_end_to_end,0.0
opencv-sface-2021dec-yunet-2023mar,same_person_extraction_coverage,0.942
opencv-sface-2021dec-yunet-2023mar,open_set_non_mated_gallery_control_extraction_coverage,0.953
opencv-sface-2021dec-yunet-2023mar,wrong_profile_template_extraction_coverage,0.953
insightface-scrfd-arcface-buffalo_l,intended_same_person_photographs,1000
insightface-scrfd-arcface-buffalo_l,scored_same_person_photographs,999
insightface-scrfd-arcface-buffalo_l,consistent_same_person_photographs,967
insightface-scrfd-arcface-buffalo_l,inconsistent_same_person_review_candidates,32
insightface-scrfd-arcface-buffalo_l,same_person_extraction_failures,1
insightface-scrfd-arcface-buffalo_l,gallery_reference_unavailable,0
insightface-scrfd-arcface-buffalo_l,intended_open_set_non_mated_gallery_controls,3000
insightface-scrfd-arcface-buffalo_l,scored_open_set_non_mated_gallery_controls,2987
insightface-scrfd-arcface-buffalo_l,open_set_non_mated_gallery_controls_correctly_identified,2983
insightface-scrfd-arcface-buffalo_l,open_set_non_mated_gallery_controls_false_consistent,4
insightface-scrfd-arcface-buffalo_l,open_set_non_mated_gallery_control_extraction_failures,13
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_controls_intended,3000
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_controls_scored,2987
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_controls_correctly_inconsistent,2987
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_controls_false_consistent,0
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_control_extraction_failures,13
insightface-scrfd-arcface-buffalo_l,same_person_consistency_rate_conditional,0.9679679679679679
insightface-scrfd-arcface-buffalo_l,same_person_false_inconsistency_rate_conditional,0.03203203203203203
insightface-scrfd-arcface-buffalo_l,same_person_consistency_rate_end_to_end,0.967
insightface-scrfd-arcface-buffalo_l,same_person_false_inconsistency_rate_end_to_end,0.032
insightface-scrfd-arcface-buffalo_l,open_set_non_mated_gallery_detection_conditional,0.9986608637428859
insightface-scrfd-arcface-buffalo_l,open_set_non_mated_gallery_false_consistency_conditional,0.0013391362571141614
insightface-scrfd-arcface-buffalo_l,open_set_non_mated_gallery_detection_end_to_end,0.9943333333333333
insightface-scrfd-arcface-buffalo_l,open_set_non_mated_gallery_false_consistency_end_to_end,0.0013333333333333333
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_mismatch_detection_conditional,1.0
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_mismatch_detection_end_to_end,0.9956666666666667
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_false_consistency_conditional,0.0
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_false_consistency_end_to_end,0.0
insightface-scrfd-arcface-buffalo_l,same_person_extraction_coverage,0.999
insightface-scrfd-arcface-buffalo_l,open_set_non_mated_gallery_control_extraction_coverage,0.9956666666666667
insightface-scrfd-arcface-buffalo_l,wrong_profile_template_extraction_coverage,0.9956666666666667
